	Image_name	class	score	type_hierarchy
0	Blur-Tools/axe1.jpg	hatchet	0.74	/tool/cutlery/ax/hatchet
1	Blur-Tools/axe1.jpg	ax	0.964	
2	Blur-Tools/axe1.jpg	cutlery	0.964	
3	Blur-Tools/axe1.jpg	tool	0.964	
4	Blur-Tools/axe1.jpg	ax handle	0.738	/tool/cutlery/ax/ax handle
5	Blur-Tools/axe2.jpg	hatchet	0.93	/tool/cutlery/ax/hatchet
6	Blur-Tools/axe2.jpg	ax	0.984	
7	Blur-Tools/axe2.jpg	cutlery	0.984	
8	Blur-Tools/axe2.jpg	tool	0.984	
9	Blur-Tools/axe3.jpg	hatchet	0.933	/tool/cutlery/ax/hatchet
10	Blur-Tools/axe3.jpg	ax	0.935	
11	Blur-Tools/axe3.jpg	cutlery	0.962	
12	Blur-Tools/axe3.jpg	tool	0.962	
13	Blur-Tools/axe3.jpg	weapon	0.796	
14	Blur-Tools/axe3.jpg	reddish brown color	0.847	
15	Blur-Tools/axe4.jpg	ax handle	0.868	/tool/cutlery/ax/ax handle
16	Blur-Tools/axe4.jpg	ax	0.959	
17	Blur-Tools/axe4.jpg	cutlery	0.959	
18	Blur-Tools/axe4.jpg	tool	0.959	
19	Blur-Tools/axe4.jpg	lever	0.798	
20	Blur-Tools/axe5.jpg	ax handle	0.858	/tool/cutlery/ax/ax handle
21	Blur-Tools/axe5.jpg	ax	0.968	
22	Blur-Tools/axe5.jpg	cutlery	0.968	
23	Blur-Tools/axe5.jpg	tool	0.968	
24	Blur-Tools/axe5.jpg	hatchet	0.747	/tool/cutlery/ax/hatchet
25	Blur-Tools/axe5.jpg	ivory color	1.0	
26	Blur-Tools/flash1.jpg	penlight	0.715	/lamp/electric lamp/penlight
27	Blur-Tools/flash1.jpg	electric lamp	0.715	
28	Blur-Tools/flash1.jpg	lamp	0.715	
29	Blur-Tools/flash1.jpg	flashlight battery	0.608	/electrical device/electric battery/flashlight battery
30	Blur-Tools/flash1.jpg	electric battery	0.611	
31	Blur-Tools/flash1.jpg	electrical device	0.611	
32	Blur-Tools/flash1.jpg	ash grey color	0.987	
33	Blur-Tools/flash2.jpg	baton	0.934	
34	Blur-Tools/flash2.jpg	weapon	0.795	
35	Blur-Tools/flash2.jpg	electrical device	0.786	
36	Blur-Tools/flash2.jpg	tool	0.797	
37	Blur-Tools/flash2.jpg	stick	0.801	
38	Blur-Tools/flash2.jpg	coal black color	0.979	
39	Blur-Tools/flash2.jpg	charcoal color	0.852	
40	Blur-Tools/flash3.jpg	putty knife	0.887	/tool/putty knife
41	Blur-Tools/flash3.jpg	tool	0.949	
42	Blur-Tools/flash3.jpg	palette knife	0.693	/tool/palette knife
43	Blur-Tools/flash3.jpg	mechanism	0.799	
44	Blur-Tools/flash3.jpg	necktie	0.779	
45	Blur-Tools/flash4.jpg	ash grey color	0.869	
46	Blur-Tools/flash4.jpg	charcoal color	0.858	
47	Blur-Tools/flash5.jpg	nickel-cadmium accumulator	0.607	/electrical device/electric battery/nickel-cadmium accumulator
48	Blur-Tools/flash5.jpg	electric battery	0.758	
49	Blur-Tools/flash5.jpg	electrical device	0.759	
50	Blur-Tools/flash5.jpg	telephone	0.632	/telecommunication/telephone
51	Blur-Tools/flash5.jpg	Tyrian purple color	0.733	
52	Blur-Tools/hammer1.jpg	sledgehammer	0.924	/tool/hammer/sledgehammer
53	Blur-Tools/hammer1.jpg	hammer	0.927	
54	Blur-Tools/hammer1.jpg	tool	0.927	
55	Blur-Tools/hammer1.jpg	Indian red color	0.841	
56	Blur-Tools/hammer1.jpg	reddish orange color	0.651	
57	Blur-Tools/hammer2.jpg	haft (handle)	0.661	
58	Blur-Tools/hammer2.jpg	tool	0.628	
59	Blur-Tools/hammer2.jpg	ash grey color	0.888	
60	Blur-Tools/hammer3.jpg	carpenter's hammer	0.969	/tool/hammer/carpenter's hammer
61	Blur-Tools/hammer3.jpg	hammer	0.97	
62	Blur-Tools/hammer3.jpg	tool	0.984	
63	Blur-Tools/hammer3.jpg	machine	0.775	
64	Blur-Tools/hammer3.jpg	coal black color	0.834	
65	Blur-Tools/hammer3.jpg	sage green color	0.78	
66	Blur-Tools/hammer4.jpg	mallet	0.879	/tool/hammer/mallet
67	Blur-Tools/hammer4.jpg	hammer	0.975	
68	Blur-Tools/hammer4.jpg	tool	0.975	
69	Blur-Tools/hammer4.jpg	sledgehammer	0.783	/tool/hammer/sledgehammer
70	Blur-Tools/hammer4.jpg	sports equipment	0.776	
71	Blur-Tools/hammer4.jpg	pale yellow color	0.771	
72	Blur-Tools/hammer4.jpg	coal black color	0.764	
73	Blur-Tools/hammer5.jpg	ball-peen hammer	0.952	/tool/hammer/ball-peen hammer
74	Blur-Tools/hammer5.jpg	hammer	0.977	
75	Blur-Tools/hammer5.jpg	tool	0.977	
76	Blur-Tools/plier1.jpg	snips	0.928	/tool/cutlery/pair of scissors/shears/snips
77	Blur-Tools/plier1.jpg	shears	0.929	
78	Blur-Tools/plier1.jpg	pair of scissors	0.929	
79	Blur-Tools/plier1.jpg	cutlery	0.981	
80	Blur-Tools/plier1.jpg	tool	0.998	
81	Blur-Tools/plier1.jpg	wire cutter	0.76	/tool/cutlery/wire cutter
82	Blur-Tools/plier1.jpg	pair of pliers	0.627	
83	Blur-Tools/plier1.jpg	lemon yellow color	0.952	
84	Blur-Tools/plier1.jpg	greenishness color	0.808	
85	Blur-Tools/plier2.jpg	clinical thermometer	0.659	/measuring instrument/thermometer/clinical thermometer
86	Blur-Tools/plier2.jpg	thermometer	0.659	
87	Blur-Tools/plier2.jpg	measuring instrument	0.659	
88	Blur-Tools/plier2.jpg	letter opener	0.627	/tool/cutlery/knife/letter opener
89	Blur-Tools/plier2.jpg	knife	0.627	
90	Blur-Tools/plier2.jpg	cutlery	0.627	
91	Blur-Tools/plier2.jpg	tool	0.694	
92	Blur-Tools/plier2.jpg	ultramarine color	0.756	
93	Blur-Tools/plier2.jpg	greenish blue color	0.73	
94	Blur-Tools/plier3.jpg	bulldog clip	0.831	/restraint (chains)/fastener/bulldog clip
95	Blur-Tools/plier3.jpg	fastener	0.831	
96	Blur-Tools/plier3.jpg	restraint (chains)	0.831	
97	Blur-Tools/plier3.jpg	machine	0.777	
98	Blur-Tools/plier3.jpg	mechanism	0.8	
99	Blur-Tools/plier3.jpg	coal black color	0.928	
100	Blur-Tools/plier3.jpg	charcoal color	0.875	
101	Blur-Tools/plier4.jpg	slip-joint pliers	0.772	/tool/pair of pliers/slip-joint pliers
102	Blur-Tools/plier4.jpg	pair of pliers	0.808	
103	Blur-Tools/plier4.jpg	tool	0.96	
104	Blur-Tools/plier4.jpg	lion-jaw forceps	0.73	
105	Blur-Tools/plier4.jpg	shears	0.787	
106	Blur-Tools/plier4.jpg	pair of scissors	0.789	
107	Blur-Tools/plier4.jpg	cutlery	0.862	
108	Blur-Tools/plier4.jpg	instrument	0.801	
109	Blur-Tools/plier4.jpg	ash grey color	1.0	
110	Blur-Tools/plier5.jpg	snips	0.842	/tool/cutlery/pair of scissors/shears/snips
111	Blur-Tools/plier5.jpg	shears	0.844	
112	Blur-Tools/plier5.jpg	pair of scissors	0.844	
113	Blur-Tools/plier5.jpg	cutlery	0.845	
114	Blur-Tools/plier5.jpg	tool	0.947	
115	Blur-Tools/plier5.jpg	pipe wrench	0.74	/tool/wrench/adjustable wrench/pipe wrench
116	Blur-Tools/plier5.jpg	adjustable wrench	0.74	
117	Blur-Tools/plier5.jpg	wrench	0.803	
118	Blur-Tools/plier5.jpg	mechanism	0.79	
119	Blur-Tools/plier5.jpg	ash grey color	1.0	
120	Blur-Tools/saw1.jpg	pruning saw	0.998	/tool/saw/handsaw/pruning saw
121	Blur-Tools/saw1.jpg	handsaw	0.998	
122	Blur-Tools/saw1.jpg	saw	0.998	
